Player,Action,Destination,Depth,Value
N/A,N/A,N/A,0,-Infinity
Union,Paratroop Drop,A,1,Infinity
Confederacy,Paratroop Drop,AA,2,-Infinity
Union,Force March,S,3,43.0
Confederacy,Paratroop Drop,AA,2,43.0
Union,Force March,T,3,108.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Force March,Z,3,57.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,AB,3,27.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,AC,3,82.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,AD,3,35.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,B,3,67.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,BA,3,40.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,BB,3,52.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,BC,3,106.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,BD,3,70.0
Confederacy,Paratroop Drop,AA,2,108.0
Union,Paratroop Drop,C,3,109.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,D,3,62.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,E,3,81.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,F,3,77.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,G,3,76.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,H,3,69.0
Confederacy,Paratroop Drop,AA,2,109.0
Union,Paratroop Drop,I,3,113.0
Confederacy,Paratroop Drop,AA,2,113.0
Union,Paratroop Drop,J,3,52.0
Confederacy,Paratroop Drop,AA,2,113.0
Union,Paratroop Drop,K,3,120.0
Confederacy,Paratroop Drop,AA,2,120.0
Union,Paratroop Drop,L,3,124.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,M,3,31.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,N,3,76.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,O,3,70.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,P,3,88.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,Q,3,82.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,R,3,83.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,S,3,43.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,T,3,108.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,U,3,94.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,V,3,80.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,W,3,56.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,X,3,116.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,Y,3,32.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,Z,3,57.0
Confederacy,Paratroop Drop,AA,2,124.0
Union,Paratroop Drop,A,1,124.0
Confederacy,Paratroop Drop,AB,2,-Infinity
Union,Force March,S,3,67.0
Confederacy,Paratroop Drop,AB,2,67.0
Union,Force March,T,3,132.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Force March,Z,3,81.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,AA,3,75.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,AC,3,106.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,AD,3,59.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,B,3,91.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,BA,3,64.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,BB,3,76.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,BC,3,130.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,BD,3,94.0
Confederacy,Paratroop Drop,AB,2,132.0
Union,Paratroop Drop,C,3,133.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,D,3,86.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,E,3,105.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,F,3,101.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,G,3,100.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,H,3,93.0
Confederacy,Paratroop Drop,AB,2,133.0
Union,Paratroop Drop,I,3,137.0
Confederacy,Paratroop Drop,AB,2,137.0
Union,Paratroop Drop,J,3,76.0
Confederacy,Paratroop Drop,AB,2,137.0
Union,Paratroop Drop,K,3,144.0
Confederacy,Paratroop Drop,AB,2,144.0
Union,Paratroop Drop,L,3,148.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,M,3,55.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,N,3,100.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,O,3,94.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,P,3,112.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,Q,3,106.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,R,3,107.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,S,3,67.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,T,3,132.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,U,3,118.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,V,3,104.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,W,3,80.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,X,3,140.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,Y,3,56.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,Z,3,81.0
Confederacy,Paratroop Drop,AB,2,148.0
Union,Paratroop Drop,A,1,124.0
Confederacy,Paratroop Drop,AC,2,-Infinity
Union,Force March,S,3,12.0
Confederacy,Paratroop Drop,AC,2,12.0
Union,Force March,T,3,77.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Force March,Z,3,26.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,AA,3,20.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,AB,3,-4.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,AD,3,4.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,B,3,36.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,BA,3,9.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,BB,3,21.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,BC,3,75.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,BD,3,39.0
Confederacy,Paratroop Drop,AC,2,77.0
Union,Paratroop Drop,C,3,78.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,D,3,31.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,E,3,50.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,F,3,46.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,G,3,45.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,H,3,38.0
Confederacy,Paratroop Drop,AC,2,78.0
Union,Paratroop Drop,I,3,82.0
Confederacy,Paratroop Drop,AC,2,82.0
Union,Paratroop Drop,J,3,21.0
Confederacy,Paratroop Drop,AC,2,82.0
Union,Paratroop Drop,K,3,89.0
Confederacy,Paratroop Drop,AC,2,89.0
Union,Paratroop Drop,L,3,93.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,M,3,0.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,N,3,45.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,O,3,39.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,P,3,57.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,Q,3,51.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,R,3,52.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,S,3,12.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,T,3,77.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,U,3,63.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,V,3,49.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,W,3,25.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,X,3,85.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,Y,3,1.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,Z,3,26.0
Confederacy,Paratroop Drop,AC,2,93.0
Union,Paratroop Drop,A,1,93.0
Confederacy,Paratroop Drop,AD,2,-Infinity
Union,Force March,S,3,59.0
Confederacy,Paratroop Drop,AD,2,59.0
Union,Force March,T,3,124.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Force March,Z,3,73.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,AA,3,67.0
Confederacy,Paratroop Drop,AD,2,124.0
Union,Paratroop Drop,AB,3,43.0
Confederacy,Paratroop Drop,AD,2,124.0
