Player,Action,Destination,Depth,Value
N/A,N/A,N/A,0,-Infinity
Union,Force March,H,1,Infinity
Confederacy,Force March,A,2,-Infinity
Union,Force March,L,3,Infinity
Confederacy,Force March,B,4,-Infinity
Union,Force March,M,5,20.0
Confederacy,Force March,B,4,20.0
Union,Force March,N,5,36.0
Confederacy,Force March,B,4,36.0
Union,Paratroop Drop,E,5,18.0
Confederacy,Force March,B,4,36.0
Union,Paratroop Drop,G,5,20.0
Confederacy,Force March,B,4,36.0
Union,Paratroop Drop,M,5,20.0
Confederacy,Force March,B,4,36.0
Union,Paratroop Drop,N,5,36.0
Confederacy,Force March,B,4,36.0
Union,Force March,L,3,36.0
Confederacy,Force March,E,4,-Infinity
Union,Force March,M,5,18.0
Confederacy,Force March,E,4,18.0
Union,Force March,N,5,34.0
Confederacy,Force March,E,4,34.0
Union,Paratroop Drop,B,5,14.0
Confederacy,Force March,E,4,34.0
Union,Paratroop Drop,G,5,18.0
Confederacy,Force March,E,4,34.0
Union,Paratroop Drop,M,5,18.0
Confederacy,Force March,E,4,34.0
Union,Paratroop Drop,N,5,34.0
Confederacy,Force March,E,4,34.0
Union,Force March,L,3,34.0
Confederacy,Paratroop Drop,B,4,-Infinity
Union,Force March,M,5,20.0
Confederacy,Paratroop Drop,B,4,20.0
Union,Force March,N,5,36.0
Confederacy,Paratroop Drop,B,4,36.0
Union,Paratroop Drop,E,5,18.0
Confederacy,Paratroop Drop,B,4,36.0
Union,Paratroop Drop,G,5,20.0
Confederacy,Paratroop Drop,B,4,36.0
Union,Paratroop Drop,M,5,20.0
Confederacy,Paratroop Drop,B,4,36.0
Union,Paratroop Drop,N,5,36.0
Confederacy,Paratroop Drop,B,4,36.0
Union,Force March,L,3,34.0
Confederacy,Paratroop Drop,E,4,-Infinity
Union,Force March,M,5,18.0
Confederacy,Paratroop Drop,E,4,18.0
Union,Force March,N,5,34.0
Confederacy,Paratroop Drop,E,4,34.0
Union,Paratroop Drop,B,5,14.0
Confederacy,Paratroop Drop,E,4,34.0
Union,Paratroop Drop,G,5,18.0
Confederacy,Paratroop Drop,E,4,34.0
Union,Paratroop Drop,M,5,18.0
Confederacy,Paratroop Drop,E,4,34.0
Union,Paratroop Drop,N,5,34.0
Confederacy,Paratroop Drop,E,4,34.0
Union,Force March,L,3,34.0
Confederacy,Paratroop Drop,G,4,-Infinity
Union,Force March,M,5,16.0
Confederacy,Paratroop Drop,G,4,16.0
Union,Force March,N,5,32.0
Confederacy,Paratroop Drop,G,4,32.0
Union,Paratroop Drop,B,5,12.0
Confederacy,Paratroop Drop,G,4,32.0
Union,Paratroop Drop,E,5,14.0
Confederacy,Paratroop Drop,G,4,32.0
Union,Paratroop Drop,M,5,16.0
Confederacy,Paratroop Drop,G,4,32.0
Union,Paratroop Drop,N,5,32.0
Confederacy,Paratroop Drop,G,4,32.0
Union,Force March,L,3,32.0
Confederacy,Paratroop Drop,M,4,-Infinity
Union,Force March,N,5,52.0
Confederacy,Paratroop Drop,M,4,52.0
Union,Paratroop Drop,B,5,12.0
Confederacy,Paratroop Drop,M,4,52.0
Union,Paratroop Drop,E,5,14.0
Confederacy,Paratroop Drop,M,4,52.0
Union,Paratroop Drop,G,5,16.0
Confederacy,Paratroop Drop,M,4,52.0
Union,Paratroop Drop,N,5,32.0
Confederacy,Paratroop Drop,M,4,52.0
Union,Force March,L,3,32.0
Confederacy,Paratroop Drop,N,4,-Infinity
Union,Force March,M,5,52.0
Confederacy,Paratroop Drop,N,4,52.0
Union,Paratroop Drop,B,5,-4.0
Confederacy,Paratroop Drop,N,4,52.0
Union,Paratroop Drop,E,5,-2.0
Confederacy,Paratroop Drop,N,4,52.0
Union,Paratroop Drop,G,5,0.0
Confederacy,Paratroop Drop,N,4,52.0
Union,Paratroop Drop,M,5,0.0
Confederacy,Paratroop Drop,N,4,52.0
Union,Force March,L,3,32.0
Confederacy,Force March,A,2,32.0
Union,Force March,N,3,Infinity
Confederacy,Force March,B,4,-Infinity
Union,Force March,L,5,36.0
Confederacy,Force March,B,4,36.0
